Accession	Organism_Name	Species	Genus	Family	Genotype	Isolate	Segment	Length	Country	Host	Tissue_Specimen_Source	Collection_Date	Release_Date	Molecule_type
PP844615	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		C+_Italy		53	Italy	Solanum lycopersicum		2022	2024-06-04	ssRNA(+)
PP844616	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		SLT5		53	Colombia	Solanum lycopersicum		2023-08-01	2024-06-04	ssRNA(+)
PP844617	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		SLT10		53	Colombia	Solanum lycopersicum		2023-08-01	2024-06-04	ssRNA(+)
PP844618	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		SLT14		53	Colombia	Solanum lycopersicum		2023-08-01	2024-06-04	ssRNA(+)
ON528712	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		IR-Pep		6392	Iran	Piperaceae		2021	2024-06-02	ssRNA(+)
PP796738	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV-HB		6429	China	Solanum lycopersicum		2023	2024-05-22	ssRNA(+)
PP694585	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV_TB1_Coahuila		400	Mexico	Solanum lycopersicum	plant leaf	2022-08-19	2024-05-01	ssRNA(+)
PP694586	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV_TQ2_Coahuila		406	Mexico	Solanum lycopersicum	plant leaf	2022-08-19	2024-05-01	ssRNA(+)
PP694587	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV_FQ3_Coahuila		399	Mexico	Solanum lycopersicum	plant leaf	2022-08-19	2024-05-01	ssRNA(+)
OR760198	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV_G78_NRB		6363	Netherlands	Solanum lycopersicum		2022-05-31	2024-04-29	ssRNA(+)
OR760199	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV_G78_RB		6363	Netherlands	Solanum lycopersicum		2022-05-31	2024-04-29	ssRNA(+)
PP681638	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		A134T		6392	Israel	Solanum lycopersicum		2022-07-24	2024-04-24	ssRNA(+)
OQ633211	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		402162_1		6371	Belgium	Solanum lycopersicum		2021-01-31	2024-03-15	ssRNA(+)
OQ633212	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		402163_1		6377	Belgium	Solanum lycopersicum		2021-07-31	2024-03-15	ssRNA(+)
OQ633213	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		402164_1		6373	Belgium	Solanum lycopersicum		2021-03-31	2024-03-15	ssRNA(+)
OQ633214	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		402169_1		6382	Belgium	Solanum lycopersicum		2021-09-30	2024-03-15	ssRNA(+)
OQ633215	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		402171_1		6350	Belgium	Solanum lycopersicum		2021-03-31	2024-03-15	ssRNA(+)
OQ633216	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		402172_1		6375	Belgium	Solanum lycopersicum		2021-09-30	2024-03-15	ssRNA(+)
OQ633217	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		402174_2		6382	Belgium	Solanum lycopersicum		2021-11-30	2024-03-15	ssRNA(+)
OQ633218	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		402175_1		6375	Belgium	Solanum lycopersicum		2021-07-31	2024-03-15	ssRNA(+)
OQ633219	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		402185_1		6368	Belgium	Solanum lycopersicum		2021-09-30	2024-03-15	ssRNA(+)
OQ633220	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		402275_1		6373	Belgium	Solanum lycopersicum		2022-10-31	2024-03-15	ssRNA(+)
OQ633221	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		422187_1		6374	Germany	Solanum lycopersicum		2021-06-30	2024-03-15	ssRNA(+)
OQ633222	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		422265_1		6385	Germany	Solanum lycopersicum		2022-10-31	2024-03-15	ssRNA(+)
PP358541	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		KNK2		480	India	Solanum lycopersicum		2023-05-21	2024-02-28	ssRNA(+)
PP358542	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		KNK3		480	India	Solanum lycopersicum		2023-05-21	2024-02-28	ssRNA(+)
PP358543	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		KNK4		480	India	Solanum lycopersicum		2023-05-20	2024-02-28	ssRNA(+)
PP358544	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		MH5		480	India	Solanum lycopersicum		2023-04-19	2024-02-28	ssRNA(+)
PP358545	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		MH6		480	India	Solanum lycopersicum		2023-04-20	2024-02-28	ssRNA(+)
PP358546	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		MH7		480	India	Solanum lycopersicum		2023-04-20	2024-02-28	ssRNA(+)
PP358547	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		MH8		480	India	Solanum lycopersicum		2023-04-21	2024-02-28	ssRNA(+)
PP358548	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		MH9		480	India	Solanum lycopersicum		2023-04-21	2024-02-28	ssRNA(+)
PP358549	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		MH10		480	India	Solanum lycopersicum		2023-04-21	2024-02-28	ssRNA(+)
OR843983	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae				6364	Germany			2017-07-18	2024-01-17	ssRNA(+)
OR795502	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV-BJ		6392	China	Solanum lycopersicum		2020	2023-11-29	ssRNA(+)
OR795503	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV-HB		6392	China	Solanum lycopersicum		2020	2023-11-29	ssRNA(+)
OR792460	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV-SD		6392	China	Solanum lycopersicum		2020	2023-11-22	ssRNA(+)
OR775427	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		T078		90	Peru	Solanum lycopersicum		2021-11-21	2023-11-20	ssRNA(+)
OR775428	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		T008		90	Peru	Solanum lycopersicum		2021-11-21	2023-11-20	ssRNA(+)
OR775429	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		T001		90	Peru	Solanum lycopersicum		2021-11-21	2023-11-20	ssRNA(+)
OR775430	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		T011		90	Peru	Solanum lycopersicum		2021-11-21	2023-11-20	ssRNA(+)
OR775431	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		T069		90	Peru	Solanum lycopersicum		2021-11-21	2023-11-20	ssRNA(+)
OR775432	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		T072		90	Peru	Solanum lycopersicum		2021-11-21	2023-11-20	ssRNA(+)
OR775433	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		T073		90	Peru	Solanum lycopersicum		2021-11-21	2023-11-20	ssRNA(+)
OR775434	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		T074		90	Peru	Solanum lycopersicum		2021-11-21	2023-11-20	ssRNA(+)
OR775435	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		T076		90	Peru	Solanum lycopersicum		2021-11-21	2023-11-20	ssRNA(+)
OR709900	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		E1		837	Poland	Solanum lycopersicum	plant leaf	2023-08	2023-11-08	ssRNA(+)
OR666667	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRVF-KNK1		480	India	Solanum lycopersicum		2023-06-14	2023-11-01	ssRNA(+)
OR666668	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRVF-MH1		480	India	Solanum lycopersicum		2023-05-14	2023-11-01	ssRNA(+)
OR543967	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		IGPEB-UZB-2		799	Uzbekistan	Capsicum annuum		2022-07-22	2023-10-25	ssRNA(+)
OR593752	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		JS-2022-ToBRFV		6386	China	Solanum lycopersicum		2022-05-31	2023-10-24	ssRNA(+)
OR545547	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		PLAVIT - T1101		480	Italy	Solanum lycopersicum	plant leaf	2019-03-08	2023-10-22	ssRNA(+)
OP557567	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Pep-27		634	Iran	Capsicum annuum		2021	2023-10-11	ssRNA(+)
OP557568	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToB-Dez		632	Iran	Solanum lycopersicum		2021	2023-10-11	ssRNA(+)
OR500698	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Yinchuan		6376	China	Solanum lycopersicum		2023-07-26	2023-10-10	ssRNA(+)
OR500699	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Zhangjiakou		6376	China	Solanum lycopersicum		2023-08-01	2023-10-10	ssRNA(+)
OR501605	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Uzb_4.1		987	Uzbekistan	Solanum lycopersicum		2022-05	2023-10-10	ssRNA(+)
OP557566	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV-Ir		6393	Iran	Solanum lycopersicum		2021	2023-10-08	ssRNA(+)
OR451555	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV-XG		6393	China	Citrullus lanatus		2023	2023-10-07	ssRNA(+)
OR437354	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Liaoning		6392	China	Solanum lycopersicum		2023	2023-10-04	ssRNA(+)
OR400154	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		IGPEB-UZB-1		701	Uzbekistan	Solanum lycopersicum		2022-07-22	2023-10-01	ssRNA(+)
OP244618	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		wp		6397	USA	Solanum polyadenium			2023-09-20	ssRNA(+)
OR393421	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Trky-13		480	Turkey	Solanum lycopersicum	plant leaf	2022-01-20	2023-09-16	ssRNA(+)
OR393422	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Trky-21		480	Turkey	Solanum lycopersicum	plant leaf	2022-01-20	2023-09-16	ssRNA(+)
OR393423	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Trky-43		480	Turkey	Solanum lycopersicum	plant leaf	2022-01-20	2023-09-16	ssRNA(+)
OR393424	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Trky-52		480	Turkey	Solanum lycopersicum	plant leaf	2022-01-20	2023-09-16	ssRNA(+)
OR393425	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Trky-64		480	Turkey	Capsicum annuum	plant leaf	2022-01-20	2023-09-16	ssRNA(+)
OR393426	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Trky-70		480	Turkey	Solanum lycopersicum	plant leaf	2022-01-20	2023-09-16	ssRNA(+)
OR393427	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Trky-70		801	Turkey	Solanum lycopersicum	plant leaf	2022-01-20	2023-09-16	ssRNA(+)
OR393428	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Trky-64		801	Turkey	Capsicum annuum	plant leaf	2022-01-20	2023-09-16	ssRNA(+)
OR393429	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Trky-52		801	Turkey	Solanum lycopersicum	plant leaf	2022-01-20	2023-09-16	ssRNA(+)
OR393430	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Trky-43		801	Turkey	Solanum lycopersicum	plant leaf	2022-01-20	2023-09-16	ssRNA(+)
OR393431	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Trky-21		801	Turkey	Solanum lycopersicum	plant leaf	2022-01-20	2023-09-16	ssRNA(+)
OR393432	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Trky-13		801	Turkey	Solanum lycopersicum	plant leaf	2022-01-20	2023-09-16	ssRNA(+)
OR343937	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		tom4		632	Iran	Solanum lycopersicum		2021	2023-09-05	ssRNA(+)
OR343938	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		TOM5		633	Iran	Solanum lycopersicum		2023	2023-09-05	ssRNA(+)
OR343939	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		TOM6		633	Iran	Solanum lycopersicum		2023	2023-09-05	ssRNA(+)
OR343940	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		PEP6		633	Iran	Capsicum annuum		2022	2023-09-05	ssRNA(+)
OR343941	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ZAR-K-20		633	Iran	Capsicum annuum		2022	2023-09-05	ssRNA(+)
OR354813	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		TOM4		1339	Iran	Solanum lycopersicum		2023	2023-09-05	ssRNA(+)
OR354814	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		TOM6		1339	Iran	Solanum lycopersicum		2023	2023-09-05	ssRNA(+)
OR354815	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		PEP6		1339	Iran	Capsicum annuum		2022	2023-09-05	ssRNA(+)
OR354816	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ZAR-K-20		1339	Iran	Capsicum annuum		2022	2023-09-05	ssRNA(+)
OR371496	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		TOM5		1339	Iran	Solanum lycopersicum		2023	2023-09-05	ssRNA(+)
OR225613	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV		285	Argentina	Solanum lycopersicum	plant leaf	2022-11	2023-07-29	ssRNA(+)
OQ427353	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		PEPQRO		6372	Mexico	Capsicum annuum		2022-09-16	2023-07-04	ssRNA(+)
OQ468450	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		FQ22110501		1358	China	Solanum lycopersicum		2021-05	2023-07-04	ssRNA(+)
OQ412634	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		TRUGB		327	Mexico	Solanum lycopersicum		2020-03-21	2023-06-28	ssRNA(+)
OQ190155	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV-Gr2		6405	Greece	Solanum lycopersicum	plant leaf	2022	2023-06-10	ssRNA(+)
OP971881	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		20IG1		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971882	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		20NO1		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971883	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		20NO2		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971884	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		20NTTG_		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971885	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		20NTTV		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971886	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		20NVM3		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971887	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		20NVM4		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971888	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		22AL23		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971889	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		22AL24		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971890	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		22AS21		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971891	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		22AS22		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971892	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		22HMF28		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971893	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		22HMF29		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971894	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		22HNS25		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971895	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		22HNS26		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971896	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		22IL16		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971897	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		22IL17		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971898	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		22IS19		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971899	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		22IS20		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971900	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		22NNS1		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971901	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		22NNS2		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971902	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		22NS5		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971903	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		22NS6		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP971904	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		22NTT13		480	USA	Solanum lycopersicum		2022	2023-05-23	ssRNA(+)
OP967017	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GBVC_ToBRFV_03		6379	Belgium	Solanum lycopersicum	plant leaf	2021-03-12	2023-04-26	ssRNA(+)
OP967018	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GBVC_ToBRFV_04		6370	Belgium	Solanum lycopersicum	plant leaf	2021-03-15	2023-04-26	ssRNA(+)
OP967019	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GBVC_ToBRFV_05		6378	Belgium	Solanum lycopersicum	plant leaf	2021-06-02	2023-04-26	ssRNA(+)
OP967020	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GBVC_ToBRFV_06		6379	Belgium	Solanum lycopersicum	plant leaf	2021-06-09	2023-04-26	ssRNA(+)
OP967021	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GBVC_ToBRFV_07		6379	Belgium	Solanum lycopersicum	plant leaf	2021-06-09	2023-04-26	ssRNA(+)
OP967022	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GBVC_ToBRFV_08		6379	Belgium	Solanum lycopersicum	plant leaf	2021-06-09	2023-04-26	ssRNA(+)
OP967023	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GBVC_ToBRFV_09		6367	Belgium	Solanum lycopersicum	plant leaf	2021-06-30	2023-04-26	ssRNA(+)
OP967024	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GBVC_ToBRFV_10		6379	Belgium	Solanum lycopersicum	plant leaf	2021-07-27	2023-04-26	ssRNA(+)
OP967025	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GBVC_ToBRFV_11		6379	Belgium	Solanum lycopersicum	plant leaf	2021-08-03	2023-04-26	ssRNA(+)
OP967026	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GBVC_ToBRFV_12		6376	Belgium	Solanum lycopersicum	plant leaf	2021-08-05	2023-04-26	ssRNA(+)
OP967027	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GBVC_ToBRFV_13		6379	Belgium	Solanum lycopersicum	plant leaf	2021-08-12	2023-04-26	ssRNA(+)
OQ674194	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		47900		6374	Canada	Solanum lycopersicum	plant leaf	2021-05-21	2023-04-03	ssRNA(+)
OQ674195	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		47044		6242	Canada	Solanum lycopersicum	plant leaf	2021-05-21	2023-04-03	ssRNA(+)
ON045074	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		D719/21		354	Slovenia	Solanum lycopersicum		2021	2023-02-13	ssRNA(+)
ON045075	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		D719/21		417	Slovenia	Solanum lycopersicum		2021	2023-02-13	ssRNA(+)
ON191569	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Hormozgan1		774	Iran	Solanum lycopersicum		2021-12	2023-01-31	ssRNA(+)
ON191570	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Hormozgan2		791	Iran	Solanum lycopersicum		2021-12	2023-01-31	ssRNA(+)
ON191571	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Hormozgan3		801	Iran	Solanum lycopersicum		2022-01	2023-01-31	ssRNA(+)
ON191572	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Hormozgan4		804	Iran	Solanum lycopersicum		2022-01	2023-01-31	ssRNA(+)
OM782671	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae				6356	Mexico	Solanum lycopersicum		2019	2023-01-11	ssRNA(+)
OM892670	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		S3		6376	USA	Solanum lycopersicum	fruit	2020-04	2022-12-24	ssRNA(+)
OM892671	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		S4		6380	USA	Solanum lycopersicum	fruit	2020-02	2022-12-24	ssRNA(+)
OM892672	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		S6		6380	USA	Solanum lycopersicum	fruit	2019-11	2022-12-24	ssRNA(+)
OM892673	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		S9		6380	USA	Solanum lycopersicum	fruit	2019-12	2022-12-24	ssRNA(+)
OM892674	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		S11		6382	USA	Solanum lycopersicum	plant seed	2021-03	2022-12-24	ssRNA(+)
OM892675	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		S15		6384	Mexico	Solanum lycopersicum		2019-12	2022-12-24	ssRNA(+)
OM892676	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		S17		6381	Peru	Solanum lycopersicum	plant seed	2019-08	2022-12-24	ssRNA(+)
OM892677	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		S18		6392	USA	Solanum lycopersicum	fruit	2019-12	2022-12-24	ssRNA(+)
OM892678	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		S19		6393	Peru	Solanum lycopersicum	plant seed	2019-08	2022-12-24	ssRNA(+)
OM892679	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		S20		6375	USA	Solanum lycopersicum	fruit	2019-12	2022-12-24	ssRNA(+)
